bioguide_id,twitter_id
B001287,950783972
F000454,1080509366
P000606,950328072
M001187,963480595
F000462,1077121945
H001067,935033864
V000131,1074129612
V000132,1083448909
P000605,18773159
R000599,1089859058
S000018,1072382221
C001094,1074412920
C001096,1048784496
C001092,1058256326
W000812,1051446626
W000817,970207298
K000368,1090002997
D000619,993153006
S001192,1072008757
B001282,1089334250
C001098,1074480192
D000096,789244177
M001191,1128781184
G000546,29766367
B001283,1092757885
B001230,1074518754
W000810,2382685057
W000816,1077446982
D000598,432771620
D000622,1058520120
O000170,1134292500
F000463,1071402577
H001068,1071102246
H001069,1061029050
H001052,960962340
P000604,1155335864
P000608,1135486501
R000598,1155212191
C001091,231510077
W000815,518644221
V000129,1128514404
S001191,1080844782
V000127,
C001075,
F000372,1382011333
F000457,
G000558,1908143071
L000578,1069124515
C001066,1880674038
K000367,
I000055,78403308
C001097,1222257180
W000799,1262814457
P000607,1206227149
V000130,1260172386
K000384,1267940407
S001194,1262099252
S001168,364415553
B001285,1243902714
M001184,975200486
K000385,1339931490
G000555,
R000584,1096059529
B001281,1531521632
S000051,1499993378
S001195,1623308912
S000522,1289319271
M001169,150078976
B001288,2167097881
C001101,2293131060
B001289,2253968388
J000296,2482022082
G000556,
N000189,2930635215
J000297,2953713339
R000601,2847221717
L000583,2914163523
C001103,2973870195
C001107,2853309155
M001193,2962994194
B001295,2964877294
G000570,236960387
A000370,2916086925
C001105,2933760046
A000373,2964351843
P000611,2932617195
M001194,2696643955
S001196,2962813893
C001106,2953922782
R000603,834069080
P000609,2861616083
M001197,2964949642
E000294,2914515430
R000604,2966758114
A000374,2962891515
Y000066,314205957
Z000017,2750127259
G000575,2962681881
K000386,2966765501
Z000018,2953494478
W000821,2852998461
H001072,2953974395
B001291,2929491549
M001195,2964526557
T000475,2869746172
B001297,2862577383
B001294,2965083477
B001293,2914571740
R000602,2970462034
C001102,2730150631
D000624,2970279814
T000474,236279233
S001197,2962923040
K000387,2974648323
S001198,2891210047
L000584,2976598347
A000372,2964287128
R000605,2955485182
W000820,47798449
B001296,231108733
H001071,2975091705
A000371,3018670151
G000574,2966570782
P000612,2863210809
P000610,2724095695
W000822,
H001073,2963445730
L000582,3044993235
G000577,2951574214
D000623,2968007206
T000473,2975350155
W000819,2966205003
M001196,3091316093
B001292,2962868158
G000576,2976606250
N000188,3122099613
L000581,2863006655
B001290,2560169238
K000388,3317799825
D000613,245408102
R000409,
D000625,3353670647
